Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,Subtitle_de,Subtitle_ru,Subtitle_pl,StartTime,EndTime,File_ID,utt_id,arousal_value,model_input
43,You had no right to tell me you ever had feelings for me.,Ross,anger,negative,5,0,2,7,"Du hattest kein Recht, mir zu sagen, dass du in mich verliebt bist.","У тебя не было права говорить, что у тебя были чувства ко мне.",Nie miałaś prawa mówić mi o tym.,0 days 00:18:28.565000,0 days 00:18:31.234000,dia5_utt0.mp4,dia5_utt0,0.764808476,<high_arousal> You had no right to tell me you ever had feelings for me.
43,What?,Rachel,surprise,negative,5,1,2,7,Was?,Что?,Co?,0 days 00:18:31.693000,0 days 00:18:33.528000,dia5_utt1.mp4,dia5_utt1,0.9135142565,<high_arousal> What?
44,I was doing great with Julie before I found out about you.,Ross,anger,negative,5,2,2,7,"Ich hab mich glänzend mit Julie verstanden, bevor ich das wusste!","У меня с Джули всё было замечательно, пока я не узнал о тебе!",Było mi dobrze z Julie!,0 days 00:18:31.693000,0 days 00:18:35.196000,dia5_utt2.mp4,dia5_utt2,0.8947065473,<high_arousal> I was doing great with Julie before I found out about you.
45,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",Rachel,anger,negative,5,3,2,7,"Ich konnte auch nicht klagen, bevor ich das von dir wusste! Glaubst du, es ist leicht für mich, dich mit Julie zu sehen?","У меня с Джули всё было замечательно, пока я не узнал о тебе! Думаешь, мне легко видеть тебя с Джули?","Mnie też było, bez ciebie! Łatwo mi patrzeć na ciebie z nią?",0 days 00:18:35.364000,0 days 00:18:39.951000,dia5_utt3.mp4,dia5_utt3,0.8197318316,"<high_arousal> Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?"
46,The point is I...,Ross,anger,negative,5,4,2,7,,,"Chodzi o to, że...",0 days 00:19:12.818000,0 days 00:19:14.030000,dia5_utt4.mp4,dia5_utt4,0.7177485228,<high_arousal> The point is I...
47,"I don't need this right now, OK.",Ross,anger,negative,5,5,2,7,"Ich hab ehrlich gesagt, keine Lust, noch länger zu diskutieren!","Я хочу сказать, что сейчас мне это не нужно!",Nie potrzebuję tego teraz.,0 days 00:19:14.030000,0 days 00:19:15.699000,dia5_utt5.mp4,dia5_utt5,0.8326095343,"<high_arousal> I don't need this right now, OK."
48,"It, it's too late, I'm with somebody else, I'm happy.",Ross,anger,negative,5,6,2,7,"Wozu auch? Es ist zu spät. Ich hab eine Frau, mit der ich sehr glücklich bin.",Я с другой. Я счастлив.,Za późno. Jestem szczęśliwy z inną.,0 days 00:19:15.821000,0 days 00:19:20.741000,dia5_utt6.mp4,dia5_utt6,0.8704698086,"<high_arousal> It, it's too late, I'm with somebody else, I'm happy."
49,This ship has sailed.,Ross,anger,negative,5,7,2,7,Unser Boot ist abgefahren!,Этот корабль уплыл!,Statek odpłynął!,0 days 00:19:17.781000,0 days 00:19:20.741000,dia5_utt7.mp4,dia5_utt7,0.9090965986,<high_arousal> This ship has sailed.
50,"Alright, fine, you go ahead and you do that, alright Ross.",Rachel,anger,negative,5,8,2,7,"Dann nur weiter so, und jetzt verschwinde.",Хорошо. Флаг тебе в руки!,"A więc dobrze. Proszę, zrób tak.",0 days 00:19:27.166000,0 days 00:19:29.588000,dia5_utt8.mp4,dia5_utt8,0.9431964755,"<high_arousal> Alright, fine, you go ahead and you do that, alright Ross."
51,Fine.,Ross,anger,negative,5,9,2,7,,,Dobrze.,0 days 00:19:29.588000,0 days 00:19:29.727000,dia5_utt9.mp4,dia5_utt9,0.6060413122,<high_arousal> Fine.
